Lineid;euro
1;139289,5476
2;200284,8465
3;119236,9912
4;72961,42865
7;69856,70796
8;55120,49576
9;89261,19168
10;66657,42858
11;16757,47231
14;19862,98879
15;44003,32617
17;2925,496476
20;63137,75486
21;33245,08879
22;14014,35386
23;20023,32886
25;5425,78554
26;5553,543135
29;701,1166848
34;9999,476676
35;23491,20354
36;10420,86695
38;1747,895065
39;317,4911588
44;462,9383117
51;36844,89857
52;55155,53792
53;7648,390535
54;2675,172312
56;5264,72023
57;2926,954998
58;1545,602322
71;118,5514525
101;438,20508
103;87,1301006
104;14337,90664
105;6026,791219
106;1820,809534
107;8595,902609
151;255,7680165
201;23186,86935
202;8434,047422
204;1226,606966
211;1391,681489
221;4204,305885
231;17280,17171
232;4884,146034
233;1513,523229
234;10514,31388
261;1261,971552
292;134,5311968
353;48949,06564
354;793,9632231
361;836,9583954
381;37,49938196
382;44,87696944
383;1235,71552
384;225,8450584
385;6410,524159
386;1,847826087
387;689,0409956
388;364,4975263
401;2100,055474
403;714,1143778
404;22413,61266
405;543,465237
412;3106,133232
414;16690,4583
415;167,8739386
441;105467,7585
442;513,6299347
521;16163,94034
531;2185,413761
532;2000,439582
533;5569,60049
562;805,8195255
563;223,8077716
564;235,9387097
566;498,5915607
567;136,7892608
581;114,3559945
582;97,35448996
593;1595,412561
594;1807,841404
882;224,6781151
991;1721,63742
994;234,8945376
995;648,3726838
9001;1483,790482
9002;1183,45706
9003;1451,355031
9004;1603,507932
9005;1435,921698
9006;1406,027779
9016;295,9812646
9017;417,6309524
9018;368,2
9021;238,6566375
9023;374,2625
9026;388,5152211
